"","Gene","Substrate"
"1","F10_1","benzoyl-coa"
"2","F10_1","phenylacetyl-coa"
"3","F10_1","N-CH3-anthraniloyl-coa"
"4","F10_1","coumaroyl-coa"
"5","F10_1","methylcrotonyl-coa"
"6","F10_1","acetyl-coa"
"7","F10_1","hexanoyl-coa"
"8","F10_1","decanoyl-coa"
"9","F10_1","myristoyl-coa"
"10","F10_1","oleoyl-coa"
"11","F10_1","phytanoyl-coa"
"12","F10_1","succinyl-coa"
"13","F10_1","4-pentynoyl-coa"
"14","F10_1","cyclohexanoyl-coa"
"15","F10_1","4-cyclohexyl-4-oxobutyryl-coa"
"16","F10_1","4-cyclopentyl-4-oxobutyryl-coa"
"17","F10_1","thiazole-4-carboxylyl-coa"
"18","F10_1","2-furoyl-coa"
"19","F10_1","trans-2-Phenylcyclopropane-1-carboxylyl-coa"
"20","F10_1","cinnamoyl-coa"
"21","F10_1","2-chlorophenylacetyl-coa"
"22","F10_1","3-fluorobenzoyl-coa"
"23","F10_1","4-fluorophenylacetyl-coa"
"24","F10_1","2-amino-5-chlorobenzoyl-coa"
"25","F10_1","acetoacetyl-coa"
"26","F10_1","arachidoyl-coa"
"27","F10_1","butyryl-coa"
"28","F10_1","crotonoyl-coa"
"29","F10_1","heptanoyl-SNAC"
"30","F10_1","isobutyryl-coa"
"31","F10_1","isovaleryl-coa"
"32","F10_1","lauroyl-coa"
"33","F10_1","nonanoyl-SNAC"
"34","F10_1","octanoyl-coa"
"35","F10_1","palmitoyl-coa"
"36","F10_1","pentanoyl-SNAC"
"37","F10_1","propionyl-coa"
"38","F10_1","stearoyl-coa"
"39","F33_1","benzoyl-coa"
"40","F33_1","phenylacetyl-coa"
"41","F33_1","N-CH3-anthraniloyl-coa"
"42","F33_1","coumaroyl-coa"
"43","F33_1","methylcrotonyl-coa"
"44","F33_1","acetyl-coa"
"45","F33_1","hexanoyl-coa"
"46","F33_1","decanoyl-coa"
"47","F33_1","myristoyl-coa"
"48","F33_1","oleoyl-coa"
"49","F33_1","phytanoyl-coa"
"50","F33_1","succinyl-coa"
"51","F33_1","4-pentynoyl-coa"
"52","F33_1","cyclohexanoyl-coa"
