"","Gene","Substrate"
"1","Acastr1-scaffold_15185","indole-6-carboxyl-coa"
"2","Acastr1-scaffold_15185","cyclobutanoyl-coa"
"3","Acastr1-scaffold_15185","3-methylbenzofuran-2-carboxyl-coa"
"4","Acastr1-scaffold_15185","2-(1H-indol-3-yl)acetyl-coa"
"5","Acastr1-scaffold_15185","naphthoyl-coa"
"6","Acastr1-scaffold_15185","phenylalaninyl-coa"
"7","Acastr1-scaffold_15185","nicotinoyl-coa"
"8","Acastr1-scaffold_15185","4-6-dichloropyrimidine-5-carboxyl-coa"
"9","Acastr1-scaffold_15185","6-aminohexanoyl-coa"
"10","Acastr1-scaffold_15185","3-(4-chlorophenoxy)propanoyl-coa"
"11","Acema1-scaffold_23","indole-6-carboxyl-coa"
"12","Acema1-scaffold_23","cyclobutanoyl-coa"
"13","Acema1-scaffold_23","3-methylbenzofuran-2-carboxyl-coa"
"14","Acema1-scaffold_23","2-(1H-indol-3-yl)acetyl-coa"
"15","Acema1-scaffold_23","naphthoyl-coa"
"16","Acema1-scaffold_23","phenylalaninyl-coa"
"17","Acema1-scaffold_23","nicotinoyl-coa"
"18","Acema1-scaffold_23","4-6-dichloropyrimidine-5-carboxyl-coa"
"19","Acema1-scaffold_23","6-aminohexanoyl-coa"
"20","Acema1-scaffold_23","3-(4-chlorophenoxy)propanoyl-coa"
"21","Achstr1-scaffold_6","indole-6-carboxyl-coa"
"22","Achstr1-scaffold_6","cyclobutanoyl-coa"
"23","Achstr1-scaffold_6","3-methylbenzofuran-2-carboxyl-coa"
"24","Achstr1-scaffold_6","2-(1H-indol-3-yl)acetyl-coa"
"25","Achstr1-scaffold_6","naphthoyl-coa"
"26","Achstr1-scaffold_6","phenylalaninyl-coa"
"27","Achstr1-scaffold_6","nicotinoyl-coa"
"28","Achstr1-scaffold_6","4-6-dichloropyrimidine-5-carboxyl-coa"
"29","Achstr1-scaffold_6","6-aminohexanoyl-coa"
"30","Achstr1-scaffold_6","3-(4-chlorophenoxy)propanoyl-coa"
"31","Aciaci1-scaffold_27","indole-6-carboxyl-coa"
"32","Aciaci1-scaffold_27","cyclobutanoyl-coa"
"33","Aciaci1-scaffold_27","3-methylbenzofuran-2-carboxyl-coa"
"34","Aciaci1-scaffold_27","2-(1H-indol-3-yl)acetyl-coa"
"35","Aciaci1-scaffold_27","naphthoyl-coa"
"36","Aciaci1-scaffold_27","phenylalaninyl-coa"
"37","Aciaci1-scaffold_27","nicotinoyl-coa"
"38","Aciaci1-scaffold_27","4-6-dichloropyrimidine-5-carboxyl-coa"
"39","Aciaci1-scaffold_27","6-aminohexanoyl-coa"
"40","Aciaci1-scaffold_27","3-(4-chlorophenoxy)propanoyl-coa"
"41","Acral2-scaffold_1","indole-6-carboxyl-coa"
"42","Acral2-scaffold_1","cyclobutanoyl-coa"
"43","Acral2-scaffold_1","3-methylbenzofuran-2-carboxyl-coa"
"44","Acral2-scaffold_1","2-(1H-indol-3-yl)acetyl-coa"
"45","Acral2-scaffold_1","naphthoyl-coa"
"46","Acral2-scaffold_1","phenylalaninyl-coa"
"47","Acral2-scaffold_1","nicotinoyl-coa"
"48","Acral2-scaffold_1","4-6-dichloropyrimidine-5-carboxyl-coa"
"49","Acral2-scaffold_1","6-aminohexanoyl-coa"
"50","Acral2-scaffold_1","3-(4-chlorophenoxy)propanoyl-coa"
"51","Acral2-scaffold_7","indole-6-carboxyl-coa"
"52","Acral2-scaffold_7","cyclobutanoyl-coa"
"53","Acral2-scaffold_7","3-methylbenzofuran-2-carboxyl-coa"
"54","Acral2-scaffold_7","2-(1H-indol-3-yl)acetyl-coa"
"55","Acral2-scaffold_7","naphthoyl-coa"
"56","Acral2-scaffold_7","phenylalaninyl-coa"
"57","Acral2-scaffold_7","nicotinoyl-coa"
"58","Acral2-scaffold_7","4-6-dichloropyrimidine-5-carboxyl-coa"
"59","Acral2-scaffold_7","6-aminohexanoyl-coa"
"60","Acral2-scaffold_7","3-(4-chlorophenoxy)propanoyl-coa"
"61","AcreTS7_1-scaffold_27","indole-6-carboxyl-coa"
"62","AcreTS7_1-scaffold_27","cyclobutanoyl-coa"
"63","AcreTS7_1-scaffold_27","3-methylbenzofuran-2-carboxyl-coa"
"64","AcreTS7_1-scaffold_27","2-(1H-indol-3-yl)acetyl-coa"
"65","AcreTS7_1-scaffold_27","naphthoyl-coa"
"66","AcreTS7_1-scaffold_27","phenylalaninyl-coa"
"67","AcreTS7_1-scaffold_27","nicotinoyl-coa"
"68","AcreTS7_1-scaffold_27","4-6-dichloropyrimidine-5-carboxyl-coa"
"69","AcreTS7_1-scaffold_27","6-aminohexanoyl-coa"
"70","AcreTS7_1-scaffold_27","3-(4-chlorophenoxy)propanoyl-coa"
"71","Acrst1-scaffold_5,Sarstr1-scaffold_12","indole-6-carboxyl-coa"
"72","Acrst1-scaffold_5,Sarstr1-scaffold_12","cyclobutanoyl-coa"
"73","Acrst1-scaffold_5,Sarstr1-scaffold_12","3-methylbenzofuran-2-carboxyl-coa"
"74","Acrst1-scaffold_5,Sarstr1-scaffold_12","2-(1H-indol-3-yl)acetyl-coa"
"75","Acrst1-scaffold_5,Sarstr1-scaffold_12","naphthoyl-coa"
"76","Acrst1-scaffold_5,Sarstr1-scaffold_12","phenylalaninyl-coa"
"77","Acrst1-scaffold_5,Sarstr1-scaffold_12","nicotinoyl-coa"
"78","Acrst1-scaffold_5,Sarstr1-scaffold_12","4-6-dichloropyrimidine-5-carboxyl-coa"
"79","Acrst1-scaffold_5,Sarstr1-scaffold_12","6-aminohexanoyl-coa"
"80","Acrst1-scaffold_5,Sarstr1-scaffold_12","3-(4-chlorophenoxy)propanoyl-coa"
"81","Albra1-ABRSCTG_2","indole-6-carboxyl-coa"
"82","Albra1-ABRSCTG_2","cyclobutanoyl-coa"
"83","Albra1-ABRSCTG_2","3-methylbenzofuran-2-carboxyl-coa"
"84","Albra1-ABRSCTG_2","2-(1H-indol-3-yl)acetyl-coa"
"85","Albra1-ABRSCTG_2","naphthoyl-coa"
"86","Albra1-ABRSCTG_2","phenylalaninyl-coa"
"87","Albra1-ABRSCTG_2","nicotinoyl-coa"
"88","Albra1-ABRSCTG_2","4-6-dichloropyrimidine-5-carboxyl-coa"
"89","Albra1-ABRSCTG_2","6-aminohexanoyl-coa"
"90","Albra1-ABRSCTG_2","3-(4-chlorophenoxy)propanoyl-coa"
"91","Alectoria_fallacina-CAJPDR010000047_1","indole-6-carboxyl-coa"
"92","Alectoria_fallacina-CAJPDR010000047_1","cyclobutanoyl-coa"
